modello,seme,insieme,epoche,MAE,RMSE,SS
MLP,0,train,69,0.023758936673402786,0.030171679014229225,-8.303211949113075
MLP,0,validation,69,0.18505923449993134,0.2311233099369669,-1170.68394955018
MLP,0,test_id,69,0.08631434291601181,0.10803348518974623,-95.00708644432629
MLP,0,test_ood,69,0.08587752282619476,0.1085910717887769,-181.3031275994666
MLP,1,train,150,0.010215713642537594,0.013751186289534702,-0.9324768006812327
MLP,1,validation,150,0.06148131936788559,0.08600217650415713,-161.23399711679747
MLP,1,test_id,150,0.11747686564922333,0.1583921809907011,-205.37353078976267
MLP,1,test_ood,150,0.041352737694978714,0.05914560160995172,-53.081756391559324
MLP,2,train,41,0.03931934013962746,0.05277962862204203,-27.468633265873834
MLP,2,validation,41,0.15065550804138184,0.1827456996192577,-731.5163380678649
MLP,2,test_id,41,0.11998112499713898,0.16565257373739606,-224.72667919403187
MLP,2,test_ood,41,0.08056581765413284,0.0975165798841587,-146.01539081073267
MLP,3,train,150,0.01461898535490036,0.018398210168252056,-2.4592751656812704
MLP,3,validation,150,0.06189898028969765,0.07998915998864138,-139.34122269427982
MLP,3,test_id,150,0.06715954095125198,0.08262035034654674,-55.15139901014822
MLP,3,test_ood,150,0.07460363954305649,0.09095748161579582,-126.90359013930751
MLP,4,train,101,0.019018616527318954,0.024760716571241702,-5.265566960574152
MLP,4,validation,101,0.08112607151269913,0.09858516921020555,-212.17985192665947
MLP,4,test_id,101,0.099391408264637,0.12242768808207012,-122.29509893370559
MLP,4,test_ood,101,0.11891303956508636,0.15068469464338116,-350.02994416788664
MLP,5,train,150,0.009076181799173355,0.011799255152298061,-0.4227976624714478
MLP,5,validation,150,0.04822935163974762,0.0640289589547428,-88.92405140865334
MLP,5,test_id,150,0.04019518941640854,0.05170355282894994,-20.990104355074912
MLP,5,test_ood,150,0.028713004663586617,0.038301072717731574,-21.67920128638269
MLP,6,train,150,0.008842498064041138,0.01196388744074317,-0.4627785883146027
MLP,6,validation,150,0.049830928444862366,0.06348000663803674,-87.38873345442167
MLP,6,test_id,150,0.07917243242263794,0.09617229213670618,-75.08279361042129
MLP,6,test_ood,150,0.0833657830953598,0.1051856054961601,-170.04819784376795
MLP,7,train,150,0.012911112979054451,0.01675809664363096,-1.8700095318734054
MLP,7,validation,150,0.07384978979825974,0.09754187561916071,-207.69170559798684
MLP,7,test_id,150,0.04559950530529022,0.05969102737042399,-28.30924452997123
MLP,7,test_ood,150,0.04827288165688515,0.06108551999242271,-56.687594607226394
MLP,8,train,86,0.01972487010061741,0.027001284165054592,-6.450798126164111
MLP,8,validation,86,0.08047188073396683,0.11759745099997432,-302.3323992901953
MLP,8,test_id,86,0.09723053127527237,0.12252064987613313,-122.48241089454629
MLP,8,test_ood,86,0.06333836913108826,0.07660249801426305,-89.71764023691668
MLP,9,train,150,0.009371559135615826,0.011966958862576184,-0.46352974663538404
MLP,9,validation,150,0.04096052423119545,0.05398262839521248,-62.919156699168795
MLP,9,test_id,150,0.03569804131984711,0.049689964857083255,-19.310653439594883
MLP,9,test_ood,150,0.03521168977022171,0.04715478863009594,-33.37616974942197
SimpleRNN,0,train,150,0.004994526505470276,0.00963653500607048,0.05097912691489792
SimpleRNN,0,validation,150,0.007708842400461435,0.014695104629438379,-3.7366178690570253
SimpleRNN,0,test_id,150,0.008022316731512547,0.013477919819452733,-0.49428092819971514
SimpleRNN,0,test_ood,150,0.006183162331581116,0.007983579491390858,0.014625797732182422
SimpleRNN,1,train,130,0.014906822703778744,0.019051703412217198,-2.7093821845501265
SimpleRNN,1,validation,130,0.044320639222860336,0.053793148499891356,-62.471229657311284
SimpleRNN,1,test_id,130,0.030286068096756935,0.0396231281017186,-11.91469142006359
SimpleRNN,1,test_ood,130,0.024660907685756683,0.03144466409844009,-14.28620923741106
SimpleRNN,2,train,93,0.02025393582880497,0.026950708484819584,-6.422912321561791
SimpleRNN,2,validation,93,0.08943460136651993,0.11408747504121088,-284.49527230432295
SimpleRNN,2,test_id,93,0.08406856656074524,0.09731590568503472,-76.90299854751832
SimpleRNN,2,test_ood,93,0.04190884530544281,0.05096771548953242,-39.16023225979171
SimpleRNN,3,train,150,0.007732815574854612,0.011944785698673925,-0.45811132386411835
SimpleRNN,3,validation,150,0.020338570699095726,0.03662863971531462,-28.42825867238945
SimpleRNN,3,test_id,150,0.016592277213931084,0.019529703943334684,-2.1374573885638672
SimpleRNN,3,test_ood,150,0.019286317750811577,0.024045049678406136,-7.938347556170976
SimpleRNN,4,train,150,0.005298673640936613,0.009720212803819968,0.03442613162462038
SimpleRNN,4,validation,150,0.004730460233986378,0.010215939113524026,-1.2891780638495463
SimpleRNN,4,test_id,150,0.006767600309103727,0.011967479910571873,-0.17812651649310074
SimpleRNN,4,test_ood,150,0.005779148545116186,0.007484164072630976,0.13405067128456605
SimpleRNN,5,train,150,0.020277932286262512,0.02670303998627252,-6.287110749304591
SimpleRNN,5,validation,150,0.040588464587926865,0.05190709690569198,-58.09850080171415
SimpleRNN,5,test_id,150,0.04528958722949028,0.05472621228734317,-23.63640292085998
SimpleRNN,5,test_ood,150,0.03505488112568855,0.04771993497496395,-34.20509873684554
SimpleRNN,6,train,133,0.004723396617919207,0.00949002342503406,0.07961713084141409
SimpleRNN,6,validation,133,0.012501399964094162,0.027084665430952264,-15.090514621169117
SimpleRNN,6,test_id,133,0.0064131407998502254,0.01096109665189155,0.011686947224424094
SimpleRNN,6,test_ood,133,0.00636711623519659,0.007802521724139643,0.05881314436541096
SimpleRNN,7,train,150,0.005612221546471119,0.009863917582824492,0.005664768793513519
SimpleRNN,7,validation,150,0.011357017792761326,0.014739494631315589,-3.7652772149916958
SimpleRNN,7,test_id,150,0.022182824090123177,0.03406080449821323,-8.543250413156462
SimpleRNN,7,test_ood,150,0.008911614306271076,0.011481683660630373,-1.0380603247790083
SimpleRNN,8,train,150,0.0049057453870773315,0.009537211978833261,0.07044128060373445
SimpleRNN,8,validation,150,0.009429148398339748,0.012622084470036312,-2.4945008329943317
SimpleRNN,8,test_id,150,0.006637790706008673,0.010968466981969249,0.010357400989085663
SimpleRNN,8,test_ood,150,0.0066304076462984085,0.008542216247272893,-0.12809845169512646
SimpleRNN,9,train,31,0.0670136958360672,0.08710313441070833,-76.53566652437141
SimpleRNN,9,validation,31,0.12263044714927673,0.1485065500375412,-482.742452420216
SimpleRNN,9,test_id,31,0.11945974081754684,0.14953029699031836,-182.92675489449456
SimpleRNN,9,test_ood,31,0.09867801517248154,0.12323354004569452,-233.78142214128275
