seme,insieme,RMSE,SS,configurazione,n_variabili
0,train,0.009252657182514668,0.12508296966552734,tutte,10
0,validation,0.037308469414711,-29.530778884887695,tutte,10
0,test_id,0.011605563573539257,-0.10794699192047119,tutte,10
0,test_ood,0.008722088299691677,-0.17610692977905273,tutte,10
1,train,0.009598543867468834,0.058447301387786865,tutte,10
1,validation,0.012350526638329029,-2.3457534313201904,tutte,10
1,test_id,0.010693779215216637,0.05930471420288086,tutte,10
1,test_ood,0.0074803889729082584,0.1349239945411682,tutte,10
2,train,0.009089603088796139,0.15564745664596558,tutte,10
2,validation,0.016792746260762215,-5.185379981994629,tutte,10
2,test_id,0.0227067768573761,-3.2412853240966797,tutte,10
2,test_ood,0.014337016269564629,-2.177777051925659,tutte,10
0,train,0.018832609057426453,-2.6245572566986084,senza SoH,9
0,validation,0.03488782048225403,-25.69750213623047,senza SoH,9
0,test_id,0.030458467081189156,-6.631371974945068,senza SoH,9
0,test_ood,0.02442149817943573,-8.220415115356445,senza SoH,9
1,train,0.009770832024514675,0.024343252182006836,senza SoH,9
1,validation,0.013380630873143673,-2.927138328552246,senza SoH,9
1,test_id,0.01358422078192234,-0.5179446935653687,senza SoH,9
1,test_ood,0.007601686287671328,0.10664153099060059,senza SoH,9
2,train,0.010291719809174538,-0.08245503902435303,senza SoH,9
2,validation,0.025094272568821907,-12.812498092651367,senza SoH,9
2,test_id,0.02840736322104931,-5.638169765472412,senza SoH,9
2,test_ood,0.010548324324190617,-0.7201757431030273,senza SoH,9
0,train,0.009457943961024284,0.08582901954650879,senza tensione,6
0,validation,0.006559734232723713,0.05616629123687744,senza tensione,6
0,test_id,0.02615058608353138,-4.625347137451172,senza tensione,6
0,test_ood,0.008492288179695606,-0.11494982242584229,senza tensione,6
1,train,0.009663012810051441,0.045756757259368896,senza tensione,6
1,validation,0.0067686596885323524,-0.004912614822387695,senza tensione,6
1,test_id,0.014520369470119476,-0.7343703508377075,senza tensione,6
1,test_ood,0.011712041683495045,-1.1206603050231934,senza tensione,6
2,train,0.009666679427027702,0.0450325608253479,senza tensione,6
2,validation,0.006507371086627245,0.07117444276809692,senza tensione,6
2,test_id,0.01563146710395813,-1.009953260421753,senza tensione,6
2,test_ood,0.01657116785645485,-3.2453370094299316,senza tensione,6
0,train,0.014108429662883282,-1.034188985824585,senza temperatura,7
0,validation,0.027516966685652733,-15.608259201049805,senza temperatura,7
0,test_id,0.023630764335393906,-3.59348201751709,senza temperatura,7
0,test_ood,0.02352520264685154,-7.556035995483398,senza temperatura,7
1,train,0.009834014810621738,0.011684298515319824,senza temperatura,7
1,validation,0.026552660390734673,-14.464612007141113,senza temperatura,7
1,test_id,0.01546164695173502,-0.9665185213088989,senza temperatura,7
1,test_ood,0.008055862039327621,-0.0032978057861328125,senza temperatura,7
2,train,0.009539552964270115,0.06998485326766968,senza temperatura,7
2,validation,0.010725358501076698,-1.5231704711914062,senza temperatura,7
2,test_id,0.010703193955123425,0.057647705078125,senza temperatura,7
2,test_ood,0.007950655184686184,0.022736310958862305,senza temperatura,7
0,train,0.016797373071312904,-1.8834779262542725,senza durata,8
0,validation,0.05180804803967476,-57.873172760009766,senza durata,8
0,test_id,0.019273169338703156,-2.0555739402770996,senza durata,8
0,test_ood,0.020563369616866112,-5.537240505218506,senza durata,8
1,train,0.00958347413688898,0.061401426792144775,senza durata,8
1,validation,0.013002792373299599,-2.708482503890991,senza durata,8
1,test_id,0.01080540381371975,0.03956383466720581,senza durata,8
1,test_ood,0.007449584547430277,0.14203423261642456,senza durata,8
2,train,0.010202895849943161,-0.0638512372970581,senza durata,8
2,validation,0.024716107174754143,-12.399331092834473,senza durata,8
2,test_id,0.03542237728834152,-9.321479797363281,senza durata,8
2,test_ood,0.04929683730006218,-36.57024383544922,senza durata,8
