seme,insieme,RMSE,SS,configurazione
0,train,0.009754180908203125,0.02766573429107666,M0: solo SoH
0,validation,0.006623046472668648,0.037859320640563965,M0: solo SoH
0,test_id,0.011023497208952904,0.00040209293365478516,M0: solo SoH
0,test_ood,0.00865973625332117,-0.15935158729553223,M0: solo SoH
1,train,0.009730158373713493,0.03244912624359131,M0: solo SoH
1,validation,0.00662088580429554,0.038487017154693604,M0: solo SoH
1,test_id,0.010826407000422478,0.03582638502120972,M0: solo SoH
1,test_ood,0.007544654421508312,0.1199960708618164,M0: solo SoH
2,train,0.009559879079461098,0.06601744890213013,M0: solo SoH
2,validation,0.006484995596110821,0.07755106687545776,M0: solo SoH
2,test_id,0.010621851310133934,0.07191675901412964,M0: solo SoH
2,test_ood,0.0075884610414505005,0.10974723100662231,M0: solo SoH
3,train,0.01158816460520029,-0.37234485149383545,M0: solo SoH
3,validation,0.007892191410064697,-0.3662123680114746,M0: solo SoH
3,test_id,0.012113169766962528,-0.2069857120513916,M0: solo SoH
3,test_ood,0.008267192170023918,-0.056627631187438965,M0: solo SoH
4,train,0.010071230120956898,-0.03657078742980957,M0: solo SoH
4,validation,0.0065237656235694885,0.06648838520050049,M0: solo SoH
4,test_id,0.010814961045980453,0.037864089012145996,M0: solo SoH
4,test_ood,0.007676145061850548,0.08905482292175293,M0: solo SoH
5,train,0.009898535907268524,-0.001326918601989746,M0: solo SoH
5,validation,0.0067390818148851395,0.0038506388664245605,M0: solo SoH
5,test_id,0.010877283290028572,0.02674335241317749,M0: solo SoH
5,test_ood,0.007696322165429592,0.08425962924957275,M0: solo SoH
0,train,0.009947494603693485,-0.011256575584411621,M0 + voltage_mean_rel
0,validation,0.007053467910736799,-0.09126043319702148,M0 + voltage_mean_rel
0,test_id,0.011122066527605057,-0.017554044723510742,M0 + voltage_mean_rel
0,test_ood,0.008002862334251404,0.00986015796661377,M0 + voltage_mean_rel
1,train,0.009694145061075687,0.03959810733795166,M0 + voltage_mean_rel
1,validation,0.0065000541508197784,0.07326209545135498,M0 + voltage_mean_rel
1,test_id,0.010747584514319897,0.04981487989425659,M0 + voltage_mean_rel
1,test_ood,0.0073476131074130535,0.1653614640235901,M0 + voltage_mean_rel
2,train,0.009794400073587894,0.019630789756774902,M0 + voltage_mean_rel
2,validation,0.007092275191098452,-0.10330140590667725,M0 + voltage_mean_rel
2,test_id,0.011536311358213425,-0.0947638750076294,M0 + voltage_mean_rel
2,test_ood,0.007522339001297951,0.12519413232803345,M0 + voltage_mean_rel
3,train,0.009678916074335575,0.04261314868927002,M0 + voltage_mean_rel
3,validation,0.0065988036803901196,0.04488992691040039,M0 + voltage_mean_rel
3,test_id,0.010721164755523205,0.054480552673339844,M0 + voltage_mean_rel
3,test_ood,0.007606550585478544,0.10549783706665039,M0 + voltage_mean_rel
4,train,0.009680274873971939,0.04234445095062256,M0 + voltage_mean_rel
4,validation,0.006633009761571884,0.034962356090545654,M0 + voltage_mean_rel
4,test_id,0.010713632218539715,0.0558086633682251,M0 + voltage_mean_rel
4,test_ood,0.00733218202367425,0.1688634753227234,M0 + voltage_mean_rel
5,train,0.010235663503408432,-0.07069551944732666,M0 + voltage_mean_rel
5,validation,0.007778103929013014,-0.3269987106323242,M0 + voltage_mean_rel
5,test_id,0.011353950016200542,-0.06042623519897461,M0 + voltage_mean_rel
5,test_ood,0.008821612223982811,-0.20310020446777344,M0 + voltage_mean_rel
0,train,0.009746430441737175,0.029210329055786133,M0 + voltage_min_rel
0,validation,0.038425348699092865,-31.38610076904297,M0 + voltage_min_rel
