protocol_block,battery_id,ambiente_c,corrente_a,n_cicli_usati,fade_pct_per_100
B0042_p2,B0042,4.0,1.0,25,42.927614128118805
B0043_p2,B0043,4.0,0.97,25,69.79312857311318
B0042_p1,B0042,22.0,2.0,25,19.84045598625692
B0043_p1,B0043,22.0,1.91,25,33.28637358420327
B0005_p1,B0005,24.0,1.87,25,4.269574720090399
B0006_p1,B0006,24.0,1.99,25,25.271665664338506
B0007_p1,B0007,24.0,1.93,25,3.820149767244163
B0018_p1,B0018,24.0,1.92,25,32.31005067973462
B0029_p1,B0029,43.0,3.95,25,23.790418929954733
B0030_p1,B0030,43.0,3.78,25,26.339779341840458
B0031_p1,B0031,43.0,3.92,25,12.672596592499257
B0032_p1,B0032,43.0,3.92,25,25.5618714584748
