seme,insieme,n_finestre,RMSE,SS,parametri,composizione,n_blocchi,n_finestre_train
0,train,316,0.009124178439378738,0.14921170473098755,16705,omogenea,2,316
0,validation,158,0.012259927578270435,-2.296847105026245,16705,omogenea,2,316
0,test_id,172,0.02176726423203945,-2.8975725173950195,16705,omogenea,2,316
0,test_ood,150,0.01740521751344204,-3.6834378242492676,16705,omogenea,2,316
1,train,316,0.009650800377130508,0.04816722869873047,16705,omogenea,2,316
1,validation,158,0.011226681061089039,-1.7645580768585205,16705,omogenea,2,316
1,test_id,172,0.02833874709904194,-5.606140613555908,16705,omogenea,2,316
1,test_ood,150,0.026615945622324944,-9.951906204223633,16705,omogenea,2,316
2,train,316,0.009202361106872559,0.1345689296722412,16705,omogenea,2,316
2,validation,158,0.008973296731710434,-0.7661479711532593,16705,omogenea,2,316
2,test_id,172,0.01106630451977253,-0.007376313209533691,16705,omogenea,2,316
2,test_ood,150,0.008368903771042824,-0.08278703689575195,16705,omogenea,2,316
0,train,503,0.02755981683731079,0.09250015020370483,16705,omogenea,3,503
0,validation,158,0.021643416956067085,-9.27483081817627,16705,omogenea,3,503
0,test_id,172,0.05985508859157562,-28.470579147338867,16705,omogenea,3,503
0,test_ood,150,0.030835185199975967,-13.699379920959473,16705,omogenea,3,503
1,train,503,0.021544676274061203,0.4454076886177063,16705,omogenea,3,503
1,validation,158,0.007878178730607033,-0.36136507987976074,16705,omogenea,3,503
1,test_id,172,0.012512871995568275,-0.2879544496536255,16705,omogenea,3,503
1,test_ood,150,0.01050908025354147,-0.7073999643325806,16705,omogenea,3,503
2,train,503,0.021209778264164925,0.4625151753425598,16705,omogenea,3,503
2,validation,158,0.007596446666866541,-0.26573848724365234,16705,omogenea,3,503
2,test_id,172,0.011121049523353577,-0.017367959022521973,16705,omogenea,3,503
2,test_ood,150,0.007887277752161026,0.03825455904006958,16705,omogenea,3,503
0,train,674,0.02703065797686577,0.5448601245880127,16705,omogenea,4,674
0,validation,158,0.007874942384660244,-0.3602468967437744,16705,omogenea,4,674
0,test_id,172,0.05953706428408623,-28.158241271972656,16705,omogenea,4,674
0,test_ood,150,0.01182750053703785,-1.1626780033111572,16705,omogenea,4,674
1,train,674,0.029746364802122116,0.4488123655319214,16705,omogenea,4,674
1,validation,158,0.010749280452728271,-1.5344383716583252,16705,omogenea,4,674
1,test_id,172,0.014250027015805244,-0.6703901290893555,16705,omogenea,4,674
1,test_ood,150,0.00997687503695488,-0.5388451814651489,16705,omogenea,4,674
2,train,674,0.029330965131521225,0.46409928798675537,16705,omogenea,4,674
2,validation,158,0.0066051241010427475,0.043059468269348145,16705,omogenea,4,674
2,test_id,172,0.01937975361943245,-2.089462995529175,16705,omogenea,4,674
2,test_ood,150,0.007742309011518955,0.07328355312347412,16705,omogenea,4,674
0,train,860,0.02871181070804596,0.4792766571044922,16705,omogenea,5,860
0,validation,158,0.007711058482527733,-0.30422043800354004,16705,omogenea,5,860
0,test_id,172,0.02275642193853855,-3.2598519325256348,16705,omogenea,5,860
0,test_ood,150,0.008023204281926155,0.004820108413696289,16705,omogenea,5,860
1,train,860,0.02977522276341915,0.4399898648262024,16705,omogenea,5,860
1,validation,158,0.006922199856489897,-0.05102062225341797,16705,omogenea,5,860
1,test_id,172,0.013340791687369347,-0.46402907371520996,16705,omogenea,5,860
1,test_ood,150,0.00851999968290329,-0.12223803997039795,16705,omogenea,5,860
2,train,860,0.0316903181374073,0.3656351566314697,16705,omogenea,5,860
2,validation,158,0.00667210528627038,0.02355283498764038,16705,omogenea,5,860
