seme,insieme,n_finestre,RMSE,SS,parametri,modello,n_blocchi,n_finestre_train
0,train,316,0.009124178439378738,0.14921170473098755,16705,GRU,2,316
0,validation,158,0.012259927578270435,-2.296847105026245,16705,GRU,2,316
0,test_id,172,0.02176726423203945,-2.8975725173950195,16705,GRU,2,316
0,test_ood,150,0.01740521751344204,-3.6834378242492676,16705,GRU,2,316
1,train,316,0.009650800377130508,0.04816722869873047,16705,GRU,2,316
1,validation,158,0.011226681061089039,-1.7645580768585205,16705,GRU,2,316
1,test_id,172,0.02833874709904194,-5.606140613555908,16705,GRU,2,316
1,test_ood,150,0.026615945622324944,-9.951906204223633,16705,GRU,2,316
2,train,316,0.009202361106872559,0.1345689296722412,16705,GRU,2,316
2,validation,158,0.008973296731710434,-0.7661479711532593,16705,GRU,2,316
2,test_id,172,0.01106630451977253,-0.007376313209533691,16705,GRU,2,316
2,test_ood,150,0.008368903771042824,-0.08278703689575195,16705,GRU,2,316
0,train,316,0.011103293858468533,-0.2599046230316162,9985,Transformer,2,316
0,validation,158,0.008948227390646935,-0.7562930583953857,9985,Transformer,2,316
0,test_id,172,0.028476236388087273,-5.67039680480957,9985,Transformer,2,316
0,test_ood,150,0.012481924146413803,-1.4086236953735352,9985,Transformer,2,316
1,train,316,0.07456228137016296,-55.81622314453125,9985,Transformer,2,316
1,validation,158,0.08050177246332169,-141.145751953125,9985,Transformer,2,316
1,test_id,172,0.1115160882472992,-101.29669189453125,9985,Transformer,2,316
1,test_ood,150,0.07269703596830368,-80.7032470703125,9985,Transformer,2,316
2,train,316,0.04557378962635994,-20.22580909729004,9985,Transformer,2,316
2,validation,158,0.05883510783314705,-74.9269790649414,9985,Transformer,2,316
2,test_id,172,0.0994865819811821,-80.41708374023438,9985,Transformer,2,316
2,test_ood,150,0.07932595908641815,-96.28291320800781,9985,Transformer,2,316
0,train,503,0.02755981683731079,0.09250015020370483,16705,GRU,3,503
0,validation,158,0.021643416956067085,-9.27483081817627,16705,GRU,3,503
0,test_id,172,0.05985508859157562,-28.470579147338867,16705,GRU,3,503
0,test_ood,150,0.030835185199975967,-13.699379920959473,16705,GRU,3,503
1,train,503,0.021544676274061203,0.4454076886177063,16705,GRU,3,503
1,validation,158,0.007878178730607033,-0.36136507987976074,16705,GRU,3,503
1,test_id,172,0.012512871995568275,-0.2879544496536255,16705,GRU,3,503
1,test_ood,150,0.01050908025354147,-0.7073999643325806,16705,GRU,3,503
2,train,503,0.021209778264164925,0.4625151753425598,16705,GRU,3,503
2,validation,158,0.007596446666866541,-0.26573848724365234,16705,GRU,3,503
2,test_id,172,0.011121049523353577,-0.017367959022521973,16705,GRU,3,503
2,test_ood,150,0.007887277752161026,0.03825455904006958,16705,GRU,3,503
0,train,503,0.029304787516593933,-0.02605605125427246,9985,Transformer,3,503
0,validation,158,0.01094928290694952,-1.6296281814575195,9985,Transformer,3,503
0,test_id,172,0.015027633868157864,-0.8576664924621582,9985,Transformer,3,503
0,test_ood,150,0.01109196338802576,-0.9020535945892334,9985,Transformer,3,503
1,train,503,0.0377325713634491,-0.7010878324508667,9985,Transformer,3,503
1,validation,158,0.01860468089580536,-6.592196464538574,9985,Transformer,3,503
1,test_id,172,0.0333678163588047,-8.158873558044434,9985,Transformer,3,503
1,test_ood,150,0.023149926215410233,-7.285240173339844,9985,Transformer,3,503
2,train,503,0.08310499042272568,-7.251789093017578,9985,Transformer,3,503
2,validation,158,0.04186446592211723,-37.44272232055664,9985,Transformer,3,503
2,test_id,172,0.06882403790950775,-37.96429443359375,9985,Transformer,3,503
2,test_ood,150,0.12933599948883057,-257.609619140625,9985,Transformer,3,503
0,train,674,0.02703065797686577,0.5448601245880127,16705,GRU,4,674
0,validation,158,0.007874942384660244,-0.3602468967437744,16705,GRU,4,674
0,test_id,172,0.05953706428408623,-28.158241271972656,16705,GRU,4,674
0,test_ood,150,0.01182750053703785,-1.1626780033111572,16705,GRU,4,674
1,train,674,0.029746364802122116,0.4488123655319214,16705,GRU,4,674
1,validation,158,0.010749280452728271,-1.5344383716583252,16705,GRU,4,674
