orizzonte,modello,insieme,RMSE,SS,n_finestre
1,Baseline persistenza,test_id,0.011025714688003063,0.0,172
1,Baseline persistenza,test_ood,0.008042611181735992,0.0,150
1,Baseline persistenza,train,0.009891975671052933,0.0,316
1,Baseline persistenza,validation,0.006752094253897667,0.0,158
1,Baseline retta,test_id,0.013235207608333363,-0.4409470850663526,172
1,Baseline retta,test_ood,0.007992500635579889,0.012422380867902927,150
1,Baseline retta,train,0.01274034603533648,-0.6588090859643747,316
1,Baseline retta,validation,0.007726343797455203,-0.30939609598875006,158
1,GRU,test_id,0.02176726423203945,-2.8975725173950195,172
1,GRU,test_ood,0.01740521751344204,-3.6834378242492676,150
1,GRU,train,0.009202361106872559,0.1345689296722412,316
1,GRU,validation,0.011226681061089039,-1.7645580768585205,158
5,Baseline persistenza,test_id,0.020718256011605263,0.0,160
5,Baseline persistenza,test_ood,0.01863165572285652,0.0,126
5,Baseline persistenza,train,0.020110350102186203,0.0,308
5,Baseline persistenza,validation,0.01295427791774273,0.0,154
5,Baseline retta,test_id,0.023497899109256808,-0.28632793867874473,160
5,Baseline retta,test_ood,0.012470079541034079,0.5520438323633654,126
5,Baseline retta,train,0.02377083962105817,-0.3971716803112624,308
5,Baseline retta,validation,0.01367615130140097,-0.1145545952714091,154
5,GRU,test_id,0.04653630033135414,-4.045187950134277,160
5,GRU,test_ood,0.022473514080047607,-0.454919695854187,126
5,GRU,train,0.012951110489666462,0.5852611064910889,308
5,GRU,validation,0.016452832147479057,-0.6130760908126831,154
10,Baseline persistenza,test_id,0.031140225008130074,0.0,145
10,Baseline persistenza,test_ood,0.03423384204506874,0.0,96
10,Baseline persistenza,train,0.02902117371559143,0.0,298
10,Baseline persistenza,validation,0.020263195037841797,0.0,149
10,Baseline retta,test_id,0.03670500796599497,-0.3893355658001998,145
10,Baseline retta,test_ood,0.01781063974704958,0.7293252205440319,96
10,Baseline retta,train,0.033249152849160996,-0.31259643125010594,298
10,Baseline retta,validation,0.019247393380945676,0.097747703529669,149
10,GRU,test_id,0.028583625331521034,0.1574588418006897,145
10,GRU,test_ood,0.05343665927648544,-1.4365053176879883,96
10,GRU,train,0.011721684597432613,0.8368638753890991,298
10,GRU,validation,0.01455654576420784,0.4839392900466919,149
20,Baseline persistenza,test_id,0.05033902823925018,0.0,115
20,Baseline persistenza,test_ood,0.05642564222216606,0.0,44
20,Baseline persistenza,train,0.05129370093345642,0.0,278
20,Baseline persistenza,validation,0.03712392598390579,0.0,139
20,Baseline retta,test_id,0.06327427440513324,-0.5799549688631063,115
20,Baseline retta,test_ood,0.03504143035212849,0.61433464511457,44
20,Baseline retta,train,0.05777787749039061,-0.26880561606475073,278
20,Baseline retta,validation,0.032828823563626444,0.21800700208126944,139
20,GRU,test_id,0.049854107201099396,0.019173383712768555,115
20,GRU,test_ood,0.04187169671058655,0.44933420419692993,44
20,GRU,train,0.020548945292830467,0.8395088911056519,278
20,GRU,validation,0.02861993946135044,0.405667245388031,139
30,Baseline persistenza,test_id,0.06671518087387085,0.0,93
30,Baseline persistenza,train,0.07450923323631287,0.0,258
30,Baseline persistenza,validation,0.05528856813907623,0.0,129
30,Baseline retta,test_id,0.08942494865999251,-0.7966687571232403,93
30,Baseline retta,train,0.07920795292689242,-0.13010140848061624,258
30,Baseline retta,validation,0.045887121725587676,0.31117176690627524,129
30,GRU,test_id,0.036337580531835556,0.7033374905586243,93
30,GRU,train,0.015077409334480762,0.9590519666671753,258
30,GRU,validation,0.020984012633562088,0.855952262878418,129
50,Baseline persistenza,test_id,0.11298982053995132,0.0,73
50,Baseline persistenza,train,0.12274901568889618,0.0,218
50,Baseline persistenza,validation,0.0927731916308403,0.0,109
50,Baseline retta,test_id,0.15071490904069013,-0.7792368727787082,73
50,Baseline retta,train,0.13928809570612607,-0.2876326511430578,218
50,Baseline retta,validation,0.08310779679542914,0.19751200565989013,109
50,GRU,test_id,0.04054060950875282,0.8712634444236755,73
50,GRU,train,0.01461680419743061,0.9858202338218689,218
50,GRU,validation,0.03168149292469025,0.8833818435668945,109
