modello,insieme,n_blocchi,errore_modello_mediano,errore_modello_assoluto,errore_estrapolazione_assoluto,cicli_residui_mediani,errore_relativo,quota_dovuta_al_metodo,n_censurate
Baseline persistenza,test_id,1,17.98203555982589,17.98203555982589,15.441687580546699,15.0,1.1988023706550592,0.8587285643592739,0
Baseline persistenza,train,2,-0.24116997444328803,10.483095741342716,10.263064010223303,17.0,0.6166526906672186,0.9790108059156931,0
Baseline persistenza,validation,1,-22.639217371183307,22.639217371183307,23.639923737198615,39.0,0.5804927531072642,1.0442023392243707,0
GRU,test_id,1,17.10721928694616,17.10721928694616,15.441687580546699,15.0,1.1404812857964108,0.9026415878312635,0
GRU,train,2,-2.034294715290393,9.260908727311651,10.263064010223303,17.0,0.5447593369006853,1.1082134931268852,0
GRU,validation,1,-20.108295662650875,20.108295662650875,23.639923737198615,39.0,0.5155973246833557,1.1756304031826716,0
LSTM,test_id,1,19.284458072697532,19.284458072697532,15.441687580546699,15.0,1.2856305381798354,0.8007322540428898,0
LSTM,train,2,-2.2344155034887976,8.418495582982864,10.263064010223303,17.0,0.4952056225284038,1.2191090330876988,0
LSTM,validation,1,-18.046631750673683,18.046631750673683,23.639923737198615,39.0,0.4627341474531714,1.3099355083984652,0
MLP,test_id,1,43.596629767706375,43.596629767706375,15.441687580546699,15.0,2.906441984513758,0.35419452519205796,0
MLP,train,2,1.3113126484007935,8.887201373679893,10.263064010223303,17.0,0.5227765513929349,1.154813937334438,0
MLP,validation,1,-30.102352061466604,30.102352061466604,23.639923737198615,39.0,0.7718551810632462,0.7853181601533253,0
SimpleRNN,test_id,1,17.858774349336386,17.858774349336386,15.441687580546699,15.0,1.1905849566224258,0.8646555065029139,0
SimpleRNN,train,2,-0.7923938085280682,10.276996924632137,10.263064010223303,17.0,0.604529230860714,0.9986442620824924,0
SimpleRNN,validation,1,-21.84444516813585,21.84444516813585,23.639923737198615,39.0,0.56011397867015,1.0821938280072136,0
