modello,blocco,insieme,ciclo_osservazione,superamento_reale,stima_da_previsioni,stima_da_traiettoria_vera,censurata,cicli_residui_reali,errore_modello,errore_estrapolazione
Baseline persistenza,B0005_p1,train,80,106,95.275734284214,94.05309414360143,False,26,-10.724265715786004,-11.946905856398573
Baseline persistenza,B0006_p1,train,52,60,70.24192576689943,68.57922216404803,False,8,10.241925766899428,8.579222164048034
Baseline persistenza,B0007_p1,validation,85,124,101.3607826288167,100.36007626280139,False,39,-22.639217371183307,-23.639923737198615
Baseline persistenza,B0018_p1,test_id,62,77,94.98203555982589,92.4416875805467,False,15,17.98203555982589,15.441687580546699
GRU,B0005_p1,train,80,106,94.70479655739796,94.05309414360143,False,26,-11.295203442602045,-11.946905856398573
GRU,B0006_p1,train,52,60,67.22661401202126,68.57922216404803,False,8,7.226614012021258,8.579222164048034
GRU,B0007_p1,validation,85,124,103.89170433734913,100.36007626280139,False,39,-20.108295662650875,-23.639923737198615
GRU,B0018_p1,test_id,62,77,94.10721928694616,92.4416875805467,False,15,17.10721928694616,15.441687580546699
LSTM,B0005_p1,train,80,106,95.34708891352834,94.05309414360143,False,26,-10.652911086471661,-11.946905856398573
LSTM,B0006_p1,train,52,60,66.18408007949407,68.57922216404803,False,8,6.184080079494066,8.579222164048034
LSTM,B0007_p1,validation,85,124,105.95336824932632,100.36007626280139,False,39,-18.046631750673683,-23.639923737198615
LSTM,B0018_p1,test_id,62,77,96.28445807269753,92.4416875805467,False,15,19.284458072697532,15.441687580546699
MLP,B0005_p1,train,80,106,98.4241112747209,94.05309414360143,False,26,-7.5758887252791,-11.946905856398573
MLP,B0006_p1,train,52,60,70.19851402208069,68.57922216404803,False,8,10.198514022080687,8.579222164048034
MLP,B0007_p1,validation,85,124,93.8976479385334,100.36007626280139,False,39,-30.102352061466604,-23.639923737198615
MLP,B0018_p1,test_id,62,77,120.59662976770637,92.4416875805467,False,15,43.596629767706375,15.441687580546699
SimpleRNN,B0005_p1,train,80,106,94.9306092668398,94.05309414360143,False,26,-11.069390733160205,-11.946905856398573
SimpleRNN,B0006_p1,train,52,60,69.48460311610407,68.57922216404803,False,8,9.484603116104068,8.579222164048034
SimpleRNN,B0007_p1,validation,85,124,102.15555483186415,100.36007626280139,False,39,-21.84444516813585,-23.639923737198615
SimpleRNN,B0018_p1,test_id,62,77,94.85877434933639,92.4416875805467,False,15,17.858774349336386,15.441687580546699
