seme,insieme,n_finestre,RMSE,MAE,SS,configurazione,n_variabili
0,train,296,0.01206944789737463,0.008246093057096004,0.9889373330863014,solo carica,8
0,validation,148,0.01822725683450699,0.015057137235999107,0.9692048710261935,solo carica,8
0,test_id,144,0.050270285457372665,0.0261697955429554,0.771114874306815,solo carica,8
0,test_ood,131,0.05257799103856087,0.019684236496686935,0.8676583817127974,solo carica,8
1,train,296,0.01894805021584034,0.014552467502653599,0.9727344656334985,solo carica,8
1,validation,148,0.014944263733923435,0.011919990181922913,0.9792991381918903,solo carica,8
1,test_id,144,0.04210006445646286,0.03485342860221863,0.8394684638425334,solo carica,8
1,test_ood,131,0.08193894475698471,0.04367087408900261,0.6785827777001263,solo carica,8
2,train,296,0.011393530294299126,0.008538499474525452,0.990141708599873,solo carica,8
2,validation,148,0.014567297883331776,0.012556901201605797,0.9803303174707557,solo carica,8
2,test_id,144,0.039526522159576416,0.02866966836154461,0.8584949046455859,solo carica,8
2,test_ood,131,0.025975538417696953,0.013917705975472927,0.9676988814508701,solo carica,8
0,train,296,0.012736025266349316,0.010262979194521904,0.9876816429372632,solo scarica,9
0,validation,148,0.027199843898415565,0.02188939042389393,0.9314239956066668,solo scarica,9
0,test_id,144,0.05243866518139839,0.046888433396816254,0.7509433772392335,solo scarica,9
0,test_ood,131,0.058680418878793716,0.04610125720500946,0.8351553517222663,solo scarica,9
1,train,296,0.0215456485748291,0.015925148501992226,0.9647463459252628,solo scarica,9
1,validation,148,0.04071860387921333,0.0331830158829689,0.8463172470312808,solo scarica,9
1,test_id,144,0.0516827255487442,0.04592360556125641,0.7580722534699026,solo scarica,9
1,test_ood,131,0.046384453773498535,0.03544751927256584,0.8970009273756399,solo scarica,9
2,train,296,0.010616356506943703,0.0076322113163769245,0.991440744995287,solo scarica,9
2,validation,148,0.02926020137965679,0.023819109424948692,0.920641396596165,solo scarica,9
2,test_id,144,0.05605460703372955,0.05043399706482887,0.7154114161110492,solo scarica,9
2,test_ood,131,0.051406845450401306,0.04086235910654068,0.8734883917151763,solo scarica,9
0,train,296,0.06915149837732315,0.05760866776108742,0.6368481747567807,carica + scarica,17
0,validation,148,0.0929754301905632,0.07774229347705841,0.19873572650842863,carica + scarica,17
0,test_id,144,0.08565554767847061,0.07070684432983398,0.33548335444444577,carica + scarica,17
0,test_ood,131,0.12325416505336761,0.0853741466999054,0.2727367622623126,carica + scarica,17
1,train,296,0.08492518961429596,0.06282176077365875,0.4522807053070098,carica + scarica,17
1,validation,148,0.09986287355422974,0.0782339796423912,0.07562655870460278,carica + scarica,17
1,test_id,144,0.24680694937705994,0.22300174832344055,-4.517084075403193,carica + scarica,17
1,test_ood,131,0.1797189563512802,0.15481533110141754,-0.5462376008989303,carica + scarica,17
2,train,296,0.020796142518520355,0.01603354699909687,0.9671564120322228,carica + scarica,17
2,validation,148,0.0404653362929821,0.03130060434341431,0.8482231108018745,carica + scarica,17
2,test_id,144,0.04637139290571213,0.03232916072010994,0.8052420596000558,carica + scarica,17
2,test_ood,131,0.043848827481269836,0.02653583697974682,0.9079541026813442,carica + scarica,17
