configurazione,insieme,n_variabili,n_finestre,RMSE,RMSE_min,RMSE_max,MAE,SS
carica + scarica,test_id,17,144,0.08565554767847061,0.04637139290571213,0.24680694937705994,0.07070684432983398,0.33548335444444577
carica + scarica,test_ood,17,131,0.12325416505336761,0.043848827481269836,0.1797189563512802,0.0853741466999054,0.2727367622623126
carica + scarica,train,17,296,0.06915149837732315,0.020796142518520355,0.08492518961429596,0.05760866776108742,0.6368481747567807
carica + scarica,validation,17,148,0.0929754301905632,0.0404653362929821,0.09986287355422974,0.07774229347705841,0.19873572650842863
solo carica,test_id,8,144,0.04210006445646286,0.039526522159576416,0.050270285457372665,0.02866966836154461,0.8394684638425334
solo carica,test_ood,8,131,0.05257799103856087,0.025975538417696953,0.08193894475698471,0.019684236496686935,0.8676583817127974
solo carica,train,8,296,0.01206944789737463,0.011393530294299126,0.01894805021584034,0.008538499474525452,0.9889373330863014
solo carica,validation,8,148,0.014944263733923435,0.014567297883331776,0.01822725683450699,0.012556901201605797,0.9792991381918903
solo scarica,test_id,9,144,0.05243866518139839,0.0516827255487442,0.05605460703372955,0.046888433396816254,0.7509433772392335
solo scarica,test_ood,9,131,0.051406845450401306,0.046384453773498535,0.058680418878793716,0.04086235910654068,0.8734883917151763
solo scarica,train,9,296,0.012736025266349316,0.010616356506943703,0.0215456485748291,0.010262979194521904,0.9876816429372632
solo scarica,validation,9,148,0.02926020137965679,0.027199843898415565,0.04071860387921333,0.023819109424948692,0.920641396596165
