seme,insieme,n_finestre,RMSE,SS,persistenza_RMSE,configurazione,n_variabili
0,train,292,0.013040434569120407,-0.7920284271240234,0.009741360321640968,scarica,10
0,validation,146,0.026938410475850105,-15.062005996704102,0.0067215911112725735,scarica,10
0,test_id,140,0.024779081344604492,-3.7311177253723145,0.011392087675631046,scarica,10
0,test_ood,126,0.0219217911362648,-6.078164100646973,0.00823978241533041,scarica,10
1,train,292,0.00914987176656723,0.11775177717208862,0.009741360321640968,scarica,10
1,validation,146,0.01088008563965559,-1.6201157569885254,0.0067215911112725735,scarica,10
1,test_id,140,0.018441805616021156,-1.6205966472625732,0.011392087675631046,scarica,10
1,test_ood,126,0.02941524237394333,-11.744224548339844,0.00823978241533041,scarica,10
2,train,292,0.010753097012639046,-0.2185065746307373,0.009741360321640968,scarica,10
2,validation,146,0.024401329457759857,-12.179011344909668,0.0067215911112725735,scarica,10
2,test_id,140,0.01577289216220379,-0.9169731140136719,0.011392087675631046,scarica,10
2,test_ood,126,0.00993005745112896,-0.45235252380371094,0.00823978241533041,scarica,10
0,train,292,0.010155443102121353,-0.0868222713470459,0.009741360321640968,carica + scarica,18
0,validation,146,0.0207667276263237,-8.5453519821167,0.0067215911112725735,carica + scarica,18
0,test_id,140,0.04535936936736107,-14.853580474853516,0.011392087675631046,carica + scarica,18
0,test_ood,126,0.03710872679948807,-19.282459259033203,0.00823978241533041,carica + scarica,18
1,train,292,0.008144352585077286,0.3010052442550659,0.009741360321640968,carica + scarica,18
1,validation,146,0.008928372524678707,-0.764413595199585,0.0067215911112725735,carica + scarica,18
1,test_id,140,0.02723470889031887,-4.715296745300293,0.011392087675631046,carica + scarica,18
1,test_ood,126,0.03461036831140518,-16.643346786499023,0.00823978241533041,carica + scarica,18
2,train,292,0.008605098351836205,0.21968060731887817,0.009741360321640968,carica + scarica,18
2,validation,146,0.024498820304870605,-12.284528732299805,0.0067215911112725735,carica + scarica,18
2,test_id,140,0.027278540655970573,-4.733708381652832,0.011392087675631046,carica + scarica,18
2,test_ood,126,0.009265112690627575,-0.26435768604278564,0.00823978241533041,carica + scarica,18
