protocol_block,battery_id,ambiente_c,corrente_a,n_cicli_usati,fade_pct_per_100
B0042_p1,B0042,22.0,2.0,40,21.721979539365137
B0043_p1,B0043,22.0,1.9,40,32.54293917964751
B0005_p1,B0005,24.0,1.9,40,5.792038435851963
B0006_p1,B0006,24.0,2.0,40,28.415252735843914
B0007_p1,B0007,24.0,2.0,40,6.668002520376572
B0018_p1,B0018,24.0,1.9,40,31.909773490563992
B0029_p1,B0029,43.0,3.9,40,28.06182396948144
B0030_p1,B0030,43.0,3.8,40,27.900055062596273
B0031_p1,B0031,43.0,3.9,40,17.559439877620985
B0032_p1,B0032,43.0,3.9,40,28.60633774428051
