protocol_block,battery_id,ambiente_c,corrente_scarica_a,cutoff_v,durata_scarica_s,n_cicli,n_validi,soh_iniziale,soh_finale,nel_progetto
B0005_p1,B0005,24.0,1.8166388432956144,2.660192336887317,3086.078,168,168,1.0,0.7219766858609253,True
B0006_p1,B0006,24.0,1.7506549957406132,2.429201911806815,3086.078,168,168,1.0,0.5889135758950863,True
B0007_p1,B0007,24.0,1.904097596322926,2.101965244475968,3086.078,168,168,1.0,0.7616758143909068,True
B0018_p1,B0018,24.0,1.8184292290182191,2.4149249183760384,3047.875,132,132,1.0,0.7289900508389353,True
B0029_p1,B0029,43.0,3.9212408077206744,1.898828488376897,1617.953,40,40,1.0,0.8878311606891852,True
B0030_p1,B0030,43.0,3.770232188117883,2.095313072099384,1617.953,40,40,1.0,0.8921226861020879,True
B0031_p1,B0031,43.0,3.9212217734718764,2.4051930162134196,1617.953,40,40,1.0,0.9239985534936405,True
B0032_p1,B0032,43.0,3.8922022815808086,2.6444213201703493,1617.953,40,40,1.0,0.8768720014104172,True
B0042_p1,B0042,22.0,1.998374293478694,2.0952902803723332,3015.0,41,40,1.0,0.9058921885438976,True
B0042_p2,B0042,4.0,3.8727999832071216,2.1679616860507585,1030.703,71,25,0.8769249154613868,0.7738931003913244,True
B0043_p1,B0043,22.0,1.8940750825904094,2.4291754256355516,3015.0,41,40,1.0,0.8739114093198593,True
B0043_p2,B0043,4.0,0.4625693034020786,2.462787320418678,1030.703,71,25,0.9118060185424449,0.759314456988171,True
