protocol_block,battery_id,ambiente_c,corrente_scarica_a,cutoff_v,durata_scarica_s,n_cicli,n_validi,soh_iniziale,soh_finale,nel_progetto,stesso_protocollo
B0005_p1,B0005,24.0,1.8166388432956144,2.660192336887317,3086.078,168,168,1.0,0.7219766858609253,True,True
B0006_p1,B0006,24.0,1.7506549957406132,2.429201911806815,3086.078,168,168,1.0,0.5889135758950863,True,True
B0007_p1,B0007,24.0,1.904097596322926,2.101965244475968,3086.078,168,168,1.0,0.7616758143909068,True,True
B0018_p1,B0018,24.0,1.8184292290182191,2.4149249183760384,3047.875,132,132,1.0,0.7289900508389353,True,True
B0029_p1,B0029,43.0,3.9212408077206744,1.898828488376897,1617.953,40,40,1.0,0.8878311606891852,True,False
B0030_p1,B0030,43.0,3.770232188117883,2.095313072099384,1617.953,40,40,1.0,0.8921226861020879,True,False
B0031_p1,B0031,43.0,3.9212217734718764,2.4051930162134196,1617.953,40,40,1.0,0.9239985534936405,True,False
B0032_p1,B0032,43.0,3.8922022815808086,2.6444213201703493,1617.953,40,40,1.0,0.8768720014104172,True,False
B0042_p1,B0042,22.0,1.998374293478694,2.0952902803723332,3015.0,41,40,1.0,0.9058921885438976,True,True
B0042_p2,B0042,4.0,3.8727999832071216,2.1679616860507585,1030.703,71,25,0.8769249154613868,0.7738931003913244,True,False
B0043_p1,B0043,22.0,1.8940750825904094,2.4291754256355516,3015.0,41,40,1.0,0.8739114093198593,True,True
B0043_p2,B0043,4.0,0.4625693034020786,2.462787320418678,1030.703,71,25,0.9118060185424449,0.759314456988171,True,False
B0025_p1,B0025,24.0,1.0619602886162927,1.8390639972003349,6404.7895,28,28,1.0,0.957056131686318,False,False
B0026_p1,B0026,24.0,1.0498628727127437,1.9292604784379783,6404.7895,28,28,1.0,0.9749008384923491,False,False
B0027_p1,B0027,24.0,1.059572276125508,2.433051091087456,6404.7895,28,28,1.0,0.975667013662667,False,False
B0028_p1,B0028,24.0,0.997082638144746,2.6154039406424974,6404.7895,28,28,1.0,0.9552824498243442,False,False
B0033_p1,B0033,24.0,1.8406157622829122,1.8981581536679577,3079.235,191,191,1.0791109181947627,1.1328048809032065,False,True
B0034_p1,B0034,24.0,1.7586395179470555,2.108589287689121,3073.157,196,196,1.0,0.7899284408977383,False,True
B0036_p1,B0036,24.0,1.9790766827277793,2.6596681327390566,3071.782,197,197,1.0,0.8656444884695392,False,True
B0038_p1,B0038,24.0,2.962735423312613,2.17423319292749,1428.1565,12,12,1.0,0.95024248979065,False,False
B0038_p2,B0038,44.0,0.9902807469221099,2.1449886066523933,6519.328,35,35,1.6786249793692014,1.4417332819039617,False,False
B0039_p1,B0039,24.0,1.418474423354882,2.4924928094838004,1428.1565,10,10,1.0,0.8758904172741473,False,True
B0039_p2,B0039,44.0,0.9751829593896583,2.467377500135635,6519.328,35,35,3.7577159974803935,2.7918310194217146,False,False
B0040_p1,B0040,24.0,1.945679920104425,2.6878962572631915,1428.1565,12,12,1.0,0.9171361659350507,False,True
B0040_p2,B0040,44.0,0.9549687460528705,2.664835318499988,6525.187,33,33,2.221398144861441,2.106139218187728,False,False
B0041_p1,B0041,4.0,0.3994046475100103,1.9477419384591268,1038.375,67,67,1.0,14.98047241721674,False,False
B0044_p1,B0044,22.0,1.8221695604826236,2.6702996984810192,3016.2889999999998,40,40,1.0,0.8558209685975001,False,True
B0044_p2,B0044,4.0,0.9122769052973728,2.6908621173584564,5384.438,25,25,0.8939122351831855,0.7551860642775934,False,False
