protocol_block,battery_id,ambiente_c,corrente_a,n_cicli,n_validi,n_marcati,n_segmenti,segmento_piu_lungo
B0005_p1,B0005,24.0,1.82,168,168,0,1,168
B0006_p1,B0006,24.0,1.75,168,168,0,1,168
B0007_p1,B0007,24.0,1.9,168,168,0,1,168
B0018_p1,B0018,24.0,1.82,132,132,0,1,132
B0029_p1,B0029,43.0,3.92,40,40,0,1,40
B0030_p1,B0030,43.0,3.77,40,40,0,1,40
B0031_p1,B0031,43.0,3.92,40,40,0,1,40
B0032_p1,B0032,43.0,3.89,40,40,0,1,40
B0042_p1,B0042,22.0,2.0,41,40,1,2,35
B0042_p2,B0042,4.0,3.87,71,25,46,1,25
B0043_p1,B0043,22.0,1.89,41,40,1,2,35
B0043_p2,B0043,4.0,0.46,71,25,46,1,25
